Phase(F=0.0000)(P=51715.538245)),Val-,Mean-,Sigma,Num
0,                -0,-0.00512546,0,1092
0.00193365,                -0,-0.00513956,0,1093
0.00386731,                -0,-0.00515504,0,1094
0.00580096,                -0,-0.00517187,0,1095
0.00773462,                -0,-0.00518999,0,1096
0.00966827,                -0,-0.00520936,0,1097
0.0116019,                -0,-0.00522992,0,1098
0.0135356,                -0,-0.00525163,0,1099
0.0154692,                -0,-0.00527443,0,1100
0.0174029, -0.00999999977648,-0.00529829,0.01,1101
0.0193365,                -0,-0.00532314,0,1102
0.0212702,                -0,-0.00534895,0,1103
0.0232039,                -0,-0.00537565,0,1104
0.0251375,                -0,-0.00540321,0,1105
0.0270712, -0.00999999977648,-0.00543158,0.01,1106
0.0290048, -0.00999999977648,-0.00546069,0.01,1107
0.0309385,                -0,-0.00549052,0,1108
0.0328721,  -0.0141421342269,-0.005521,0.0141421,1109
0.0348058,                -0,-0.00555209,0,1110
0.0367394, -0.00999999977648,-0.00558374,0.01,1111
0.0386731,                -0,-0.00561591,0,1112
0.0406068,                -0,-0.00564853,0,1113
0.0425404,                -0,-0.00568157,0,1114
0.0444741,                -0,-0.00571497,0,1115
0.0464077,                -0,-0.00574868,0,1116
0.0483414,  -0.0141421342269,-0.00578267,0.0141421,1117
0.050275, -0.00999999977648,-0.00581687,0.01,1118
0.0522087,                -0,-0.00585123,0,1119
0.0541423,                -0,-0.00588572,0,1120
0.056076,                -0,-0.00592028,0,1121
0.0580096,                -0,-0.00595486,0,1122
0.0599433,                -0,-0.00598941,0,1123
0.061877,  -0.0141421342269,-0.00602389,0.0141421,1124
0.0638106,  -0.0141421342269,-0.00605824,0.0141421,1125
0.0657443,                -0,-0.00609242,0,1126
0.0676779,                -0,-0.00612638,0,1127
0.0696116,  -0.0141421342269,-0.00616006,0.0141421,1128
0.0715452,                -0,-0.00619343,0,1129
0.0734789,  -0.0141421342269,-0.00622642,0.0141421,1130
0.0754125, -0.00999999977648,-0.006259,0.01,1131
0.0773462,                -0,-0.00629111,0,1132
0.0792798, -0.00999999977648,-0.0063227,0.01,1133
0.0812135, -0.00999999977648,-0.00635373,0.01,1134
0.0831472,  -0.0173205081373,-0.00638414,0.0173205,1135
0.0850808,                -0,-0.00641389,0,1136
0.0870145,   -0.019999999553,-0.00644293,0.02,1137
0.0889481,  -0.0141421342269,-0.00647121,0.0141421,1138
0.0908818, -0.00999999977648,-0.00649868,0.01,1139
0.0928154, -0.00999999977648,-0.00652529,0.01,1140
0.0947491, -0.00999999977648,-0.006551,0.01,1141
0.0966827,                -0,-0.00657575,0,1142
0.0986164, -0.00999999977648,-0.00659949,0.01,1143
0.10055,                -0,-0.00662218,0,1144
0.102484, -0.00999999977648,-0.00664379,0.01,1145
0.104417, -0.00999999977648,-0.00666434,0.01,1146
0.106351, -0.00999999977648,-0.00668385,0.01,1147
0.108285,                -0,-0.00670235,0,1148
0.110218,                -0,-0.00671985,0,1149
0.112152,                -0,-0.00673637,0,1150
0.114086, -0.00999999977648,-0.00675195,0.01,1151
0.116019,                -0,-0.00676659,0,1152
0.117953,                -0,-0.00678033,0,1153
0.119887, -0.00999999977648,-0.00679319,0.01,1154
0.12182,                -0,-0.00680518,0,1155
0.123754, -0.00999999977648,-0.00681632,0.01,1156
0.125688, -0.00999999977648,-0.00682665,0.01,1157
0.127621, -0.00999999977648,-0.00683618,0.01,1158
0.129555, -0.00999999977648,-0.00684494,0.01,1159
0.131489,                -0,-0.00685294,0,1160
0.133422,                -0,-0.00686021,0,1161
