Frequency,Theta
5.47046e-06,0.991963
5.47507e-06,0.992224
5.47968e-06,0.990893
5.48429e-06,0.991296
5.4889e-06,0.99074
5.49352e-06,0.991575
5.49813e-06,0.99214
5.50274e-06,0.990753
5.50735e-06,0.989519
5.51196e-06,0.990403
5.51657e-06,0.989948
5.52118e-06,0.990786
5.52579e-06,0.990974
5.53041e-06,0.991148
5.53502e-06,0.989957
5.53963e-06,0.992082
5.54424e-06,0.994342
5.54885e-06,0.995406
5.55346e-06,0.996331
5.55807e-06,0.997551
5.56268e-06,0.997813
5.5673e-06,0.998164
5.57191e-06,0.997896
5.57652e-06,0.995615
5.58113e-06,0.995092
5.58574e-06,0.993567
5.59035e-06,0.996413
5.59496e-06,0.997387
5.59958e-06,0.997825
5.60419e-06,0.998827
5.6088e-06,1.00047
5.61341e-06,0.999521
5.61802e-06,0.998744
5.62263e-06,0.996665
5.62724e-06,0.995608
5.63185e-06,0.991591
5.63647e-06,0.993768
5.64108e-06,0.993812
5.64569e-06,0.995829
5.6503e-06,0.997716
5.65491e-06,0.997528
5.65952e-06,0.997549
5.66413e-06,0.996264
5.66874e-06,0.99579
5.67336e-06,0.993482
5.67797e-06,0.991294
5.68258e-06,0.989072
5.68719e-06,0.991306
5.6918e-06,0.992973
5.69641e-06,0.993833
5.70102e-06,0.995025
5.70563e-06,0.996007
5.71025e-06,0.996152
5.71486e-06,0.99492
5.71947e-06,0.992536
5.72408e-06,0.990974
5.72869e-06,0.98731
5.7333e-06,0.989588
5.73791e-06,0.991494
5.74252e-06,0.992418
5.74714e-06,0.995042
5.75175e-06,0.995334
5.75636e-06,0.995436
5.76097e-06,0.993263
5.76558e-06,0.993442
5.77019e-06,0.989743
5.7748e-06,0.989369
5.77941e-06,0.988244
5.78403e-06,0.990407
5.78864e-06,0.991154
5.79325e-06,0.992406
5.79786e-06,0.994221
5.80247e-06,0.99479
5.80708e-06,0.99407
5.81169e-06,0.994275
5.8163e-06,0.992502
5.82092e-06,0.993164
5.82553e-06,0.991655
5.83014e-06,0.992107
5.83475e-06,0.993543
5.83936e-06,0.992975
5.84397e-06,0.994155
5.84858e-06,0.994886
5.85319e-06,0.993624
5.85781e-06,0.992201
5.86242e-06,0.992456
5.86703e-06,0.989806
5.87164e-06,0.991549
5.87625e-06,0.990804
5.88086e-06,0.991839
5.88547e-06,0.99012
5.89009e-06,0.992022
5.8947e-06,0.993565
5.89931e-06,0.99298
5.90392e-06,0.992068
5.90853e-06,0.990132
5.91314e-06,0.989105
5.91775e-06,0.987318
5.92236e-06,0.98687
5.92698e-06,0.986968
5.93159e-06,0.988399
5.9362e-06,0.990285
5.94081e-06,0.991517
5.94542e-06,0.991946
5.95003e-06,0.990837
5.95464e-06,0.990825
5.95925e-06,0.990425
5.96387e-06,0.990529
5.96848e-06,0.98959
5.97309e-06,0.989622
5.9777e-06,0.990241
5.98231e-06,0.990473
5.98692e-06,0.991679
5.99153e-06,0.992551
5.99614e-06,0.992405
6.00076e-06,0.991212
6.00537e-06,0.990086
6.00998e-06,0.988485
6.01459e-06,0.989232
6.0192e-06,0.987589
6.02381e-06,0.988562
6.02842e-06,0.990552
6.03303e-06,0.991574
6.03765e-06,0.993889
6.04226e-06,0.9947
6.04687e-06,0.993523
6.05148e-06,0.992273
6.05609e-06,0.990479
6.0607e-06,0.99074
6.06531e-06,0.989188
6.06992e-06,0.991213
6.07454e-06,0.994267
6.07915e-06,0.996109
6.08376e-06,0.996941
6.08837e-06,0.99824
6.09298e-06,0.997862
6.09759e-06,0.996772
6.1022e-06,0.995745
6.10681e-06,0.993453
6.11143e-06,0.992532
6.11604e-06,0.991914
6.12065e-06,0.991035
6.12526e-06,0.99352
6.12987e-06,0.992762
6.13448e-06,0.996718
6.13909e-06,0.996722
6.1437e-06,0.99522
6.14832e-06,0.994862
6.15293e-06,0.992611
6.15754e-06,0.990978
6.16215e-06,0.987644
6.16676e-06,0.986477
6.17137e-06,0.990739
6.17598e-06,0.990093
6.1806e-06,0.991857
6.18521e-06,0.992944
6.18982e-06,0.993644
6.19443e-06,0.992343
6.19904e-06,0.991915
6.20365e-06,0.990207
6.20826e-06,0.988192
6.21287e-06,0.988386
6.21749e-06,0.98807
6.2221e-06,0.990225
6.22671e-06,0.990406
6.23132e-06,0.992649
6.23593e-06,0.993704
6.24054e-06,0.993651
6.24515e-06,0.993221
6.24976e-06,0.991049
6.25438e-06,0.986519
6.25899e-06,0.986097
6.2636e-06,0.983455
6.26821e-06,0.98465
6.27282e-06,0.98397
6.27743e-06,0.983603
6.28204e-06,0.986324
6.28665e-06,0.987661
6.29127e-06,0.987713
6.29588e-06,0.988838
6.30049e-06,0.985638
6.3051e-06,0.986873
6.30971e-06,0.988053
6.31432e-06,0.988701
6.31893e-06,0.989902
6.32354e-06,0.990434
6.32816e-06,0.992357
6.33277e-06,0.992584
6.33738e-06,0.992692
6.34199e-06,0.991951
6.3466e-06,0.990108
6.35121e-06,0.990323
6.35582e-06,0.990227
6.36043e-06,0.990523
6.36505e-06,0.99163
6.36966e-06,0.991904
6.37427e-06,0.992243
6.37888e-06,0.992387
6.38349e-06,0.992688
6.3881e-06,0.991876
6.39271e-06,0.990553
6.39732e-06,0.989882
6.40194e-06,0.989546
6.40655e-06,0.989072
6.41116e-06,0.988604
6.41577e-06,0.988792
6.42038e-06,0.989833
6.42499e-06,0.990558
6.4296e-06,0.990037
6.43421e-06,0.990137
6.43883e-06,0.988893
6.44344e-06,0.988468
6.44805e-06,0.987935
6.45266e-06,0.987262
6.45727e-06,0.98747
6.46188e-06,0.990099
6.46649e-06,0.990491
6.47111e-06,0.991386
6.47572e-06,0.991959
6.48033e-06,0.992437
6.48494e-06,0.991726
6.48955e-06,0.99239
6.49416e-06,0.991872
6.49877e-06,0.991496
6.50338e-06,0.992155
6.508e-06,0.993207
6.51261e-06,0.993397
6.51722e-06,0.993518
6.52183e-06,0.993385
6.52644e-06,0.993133
6.53105e-06,0.991765
6.53566e-06,0.991851
6.54027e-06,0.990512
6.54489e-06,0.989921
6.5495e-06,0.990168
6.55411e-06,0.990871
6.55872e-06,0.992726
6.56333e-06,0.992884
6.56794e-06,0.993302
6.57255e-06,0.994161
6.57716e-06,0.993962
6.58178e-06,0.992077
6.58639e-06,0.99246
6.591e-06,0.990919
6.59561e-06,0.991546
6.60022e-06,0.991723
6.60483e-06,0.992038
6.60944e-06,0.993398
6.61405e-06,0.994255
6.61867e-06,0.994451
6.62328e-06,0.994182
6.62789e-06,0.992079
6.6325e-06,0.991398
6.63711e-06,0.991135
6.64172e-06,0.99031
6.64633e-06,0.988674
6.65094e-06,0.989567
6.65556e-06,0.991152
6.66017e-06,0.990872
6.66478e-06,0.990789
6.66939e-06,0.991435
6.674e-06,0.990318
6.67861e-06,0.990709
6.68322e-06,0.989395
6.68783e-06,0.987479
6.69245e-06,0.988462
6.69706e-06,0.987853
6.70167e-06,0.989087
6.70628e-06,0.990683
6.71089e-06,0.991412
6.7155e-06,0.991893
6.72011e-06,0.992333
6.72472e-06,0.992726
6.72934e-06,0.992636
6.73395e-06,0.991146
6.73856e-06,0.992144
6.74317e-06,0.990498
6.74778e-06,0.991522
6.75239e-06,0.99193
6.757e-06,0.988867
6.76162e-06,0.988572
6.76623e-06,0.987848
6.77084e-06,0.986385
6.77545e-06,0.985038
6.78006e-06,0.983642
6.78467e-06,0.985549
6.78928e-06,0.987493
6.79389e-06,0.988479
6.79851e-06,0.990074
