X,Resid
         217491200,-0.00512546
         217491300,-0.00513956
         217491400,-0.00515504
         217491500,-0.00517187
         217491600,-0.00518999
         217491700,-0.00520936
         217491800,-0.00522992
         217491900,-0.00525163
         217492000,-0.00527443
         217492100,0.00470171
         217492200,-0.00532314
         217492300,-0.00534895
         217492400,-0.00537565
         217492500,-0.00540321
         217492600,0.00456842
         217492700,0.00453931
         217492800,-0.00549052
         217492900,0.00862113
         217493000,-0.00555209
         217493100,0.00441626
         217493200,-0.00561591
         217493300,-0.00564853
         217493400,-0.00568157
         217493500,-0.00571497
         217493600,-0.00574868
         217493700,0.00835947
         217493800,0.00418313
         217493900,-0.00585123
         217494000,-0.00588572
         217494100,-0.00592028
         217494200,-0.00595486
         217494300,-0.00598941
         217494400,0.00811824
         217494500,0.00808389
         217494600,-0.00609242
         217494700,-0.00612638
         217494800,0.00798207
         217494900,-0.00619343
         217495000,0.00791571
         217495100,0.003741
         217495200,-0.00629111
         217495300,0.0036773
         217495400,0.00364627
         217495500,0.0109364
         217495600,-0.00641389
         217495700,0.0135571
         217495800,0.00767092
         217495900,0.00350132
         217496000,0.00347471
         217496100,0.003449
         217496200,-0.00657575
         217496300,0.00340051
         217496400,-0.00662218
         217496500,0.00335621
         217496600,0.00333566
         217496700,0.00331615
         217496800,-0.00670235
         217496900,-0.00671985
         217497000,-0.00673637
         217497100,0.00324805
         217497200,-0.00676659
         217497300,-0.00678033
         217497400,0.00320681
         217497500,-0.00680518
         217497600,0.00318368
         217497700,0.00317335
         217497800,0.00316382
         217497900,0.00315506
         217498000,-0.00685294
         217498100,-0.00686021
         217498200,0.00313323
         217498300,0.00312736
         217498400,-0.00687784
         217498500,-0.0068824
         217498600,-0.00688634
         217498700,0.00725246
         217498800,0.00310757
         217498900,-0.00689463
         217499000,-0.0068963
         217499100,-0.00689745
         217499200,-0.00689811
         217499300,0.00310169
         217499400,0.00310195
         217499500,-0.00689737
         217499600,-0.00689629
         217499700,-0.00689483
         217499800,0.003107
         217499900,-0.00689084
         217500000,-0.00688836
         217500100,-0.00688559
         217500200,-0.00688255
         217500300,0.00312074
         217500400,-0.00687574
         217500500,-0.00687201
         217500600,0.00727404
         217500700,-0.00686403
         217500800,-0.00685981
         217500900,-0.00685548
         217501000,-0.00685105
         217501100,-0.00684655
         217501200,0.00730014
         217501300,0.0031626
         217501400,0.00316719
         217501500,-0.00682822
         217501600,0.00317633
         217501700,0.00732297
         217501800,-0.00681467
         217501900,-0.00681019
         217502000,0.00319429
         217502100,0.00319878
         217502200,-0.0067967
         217502300,0.00320786
         217502400,0.00735461
         217502500,-0.00678284
         217502600,-0.00677808
         217502700,-0.00677323
         217502800,0.00323173
         217502900,0.0032368
         217503000,0.00324201
         217503100,-0.00675264
         217503200,-0.00674714
         217503300,0.00325854
         217503400,0.00740653
         217503500,0.00327045
         217503600,-0.00672329
         217503700,0.00328319
         217503800,-0.00671009
         217503900,0.0106174
         217504000,-0.00669591
         217504100,0.00331158
         217504200,0.0074615
         217504300,-0.00667256
         217504400,-0.00666417
         217504500,0.00748668
         217504600,0.00335359
         217504700,-0.006637
         217504800,-0.00662724
         217504900,-0.0066171
         217505000,-0.00660658
         217505100,-0.00659565
         217505200,-0.0065843
         217505300,-0.00657253
         217505400,0.00343968
         217505500,0.0107728
         217505600,-0.00653453
         217505700,-0.00652092
         217505800,-0.00650682
         217505900,-0.00649221
         217506000,0.00352291
         217506100,0.00353856
         217506200,0.00355476
         217506300,-0.00642849
         217506400,0.00358883
         217506500,-0.00639326
         217506600,-0.00637476
         217506700,0.00364434
         217506800,-0.00633594
         217506900,-0.00631562
         217507000,0.00370526
         217507100,-0.00627334
         217507200,0.00374856
         217507300,-0.00622908
         217507400,0.00793584
         217507500,0.00381689
         217507600,0.00384043
         217507700,-0.0061357
         217507800,-0.00611153
         217507900,-0.00608711
         217508000,0.00393754
         217508100,-0.00603762
         217508200,0.00812952
         217508300,-0.00598748
         217508400,0.00403774
         217508500,0.00406303
         217508600,-0.00591166
         217508700,0.00411365
         217508800,0.00413891
         217508900,-0.00583589
         217509000,-0.00581081
         217509100,0.00421414
         217509200,-0.00576109
         217509300,0.00426348
         217509400,0.00428781
         217509500,-0.00568814
         217509600,-0.00566439
         217509700,-0.00564099
         217509800,-0.00561795
         217509900,0.00440467
         217510000,-0.00557314
         217510100,0.0085907
         217510200,-0.00553022
         217510300,0.00863257
         217510400,-0.00548947
         217510500,0.00453002
         217510600,-0.00545114
         217510700,-0.00543297
         217510800,-0.00541551
         217510900,-0.00539879
         217511000,-0.00538284
         217511100,-0.0053677
         217511200,0.0046466
         217511300,0.0119805
         217511400,0.00467255
         217511500,-0.00531587
         217511600,0.00469473
         217511700,-0.00529567
         217511800,-0.00528712
         217511900,-0.00527964
         217512000,-0.00527325
         217512100,-0.00526793
         217512200,-0.00526365
         217512300,0.00888175
         217512400,-0.0052581
         217512500,0.00888536
         217512600,0.00888577
         217512700,0.00888527
         217512800,0.00474178
         217512900,-0.00526042
         217513000,-0.00526343
         217513100,0.00473278
         217513200,-0.00527176
         217513300,0.00886511
         217513400,0.00471702
         217513500,0.00885254
         217513600,0.00470315
         217513700,0.00883742
         217513800,0.0120073
         217513900,-0.00532215
         217514000,0.00466834
         217514100,-0.00534166
         217514200,-0.00535213
         217514300,0.00877911
         217514400,-0.00537432
         217514500,0.0119345
         217514600,-0.00539802
         217514700,-0.00541036
         217514800,-0.00542299
         217514900,0.00456412
         217515000,0.00455101
         217515100,-0.00546231
         217515200,-0.0054758
         217515300,-0.00548944
         217515400,0.00449681
         217515500,0.00448298
         217515600,-0.00553092
         217515700,-0.00554484
         217515800,0.00858338
         217515900,-0.00557264
         217516000,-0.00558647
         217516100,-0.00560021
         217516200,-0.00561384
         217516300,-0.00562732
         217516400,0.00435938
         217516500,-0.00565372
         217516600,-0.00566659
         217516700,-0.00567919
         217516800,-0.00569151
         217516900,-0.0057035
         217517000,-0.00571515
         217517100,-0.00572642
         217517200,-0.0057373
         217517300,0.0042522
         217517400,0.00838421
         217517500,-0.00576768
         217517600,0.00422291
         217517700,-0.00578615
         217517800,0.00420512
         217517900,0.00419672
         217518000,-0.00581135
         217518100,0.00418088
         217518200,0.00831554
         217518300,0.00416623
         217518400,-0.00584066
         217518500,0.00415272
         217518600,-0.00585364
         217518700,0.00414026
         217518800,-0.00586559
         217518900,-0.00587121
         217519000,0.00412341
         217519100,0.00411824
         217519200,0.00411329
         217519300,-0.00589147
         217519400,-0.00589603
         217519500,0.0040996
         217519600,-0.0059046
         217519700,0.00409136
         217519800,0.00408748
         217519900,-0.00591625
         217520000,-0.00591984
         217520100,-0.0059233
         217520200,0.00407336
         217520300,-0.00592987
         217520400,0.00406701
         217520500,0.00406398
         217520600,-0.00593896
         217520700,0.00405817
         217520800,0.00405537
         217520900,-0.00594738
         217521000,0.00404993
         217521100,0.00404728
         217521200,-0.00595534
         217521300,-0.00595794
         217521400,0.0081816
         217521500,-0.00596311
         217521600,-0.0059657
         217521700,0.0040317
         217521800,-0.00597092
         217521900,0.00402643
         217522000,0.00402374
         217522100,-0.00597901
         217522200,-0.00598181
         217522300,0.00401532
         217522400,-0.0059876
         217522500,-0.00599058
         217522600,0.00400641
         217522700,-0.00599661
         217522800,0.00400036
         217522900,-0.00600267
         217523000,-0.00600567
         217523100,0.00399137
         217523200,0.00398845
         217523300,0.0039856
         217523400,-0.00601717
         217523500,-0.00601985
         217523600,-0.00602243
         217523700,-0.00602489
         217523800,0.00397278
         217523900,0.00811274
         217524000,-0.00603142
         217524100,-0.00603327
         217524200,-0.00603493
         217524300,-0.00603638
         217524400,0.00810451
         217524500,0.00396136
         217524600,-0.00603942
         217524700,0.00396007
         217524800,-0.00604018
         217524900,0.00810199
         217525000,0.00396019
         217525100,-0.00603916
         217525200,0.00810394
         217525300,-0.00603688
         217525400,0.00396478
         217525500,0.00396681
         217525600,-0.00603078
         217525700,-0.00602798
         217525800,0.00811736
         217525900,-0.00602114
         217526000,-0.00601707
         217526100,0.00398744
         217526200,-0.00600758
         217526300,0.00399787
         217526400,-0.00599618
         217526500,-0.00598974
         217526600,0.00401723
         217526700,-0.00597527
         217526800,-0.00596723
         217526900,-0.00595863
         217527000,0.00405054
         217527100,-0.0059397
         217527200,0.00407066
         217527300,0.00822377
         217527400,-0.00590676
         217527500,0.00824761
         217527600,0.00826045
         217527700,0.00827388
         217527800,-0.00585427
         217527900,0.00416023
         217528000,-0.00582478
         217528100,-0.00580933
         217528200,0.00420655
         217528300,-0.00577717
         217528400,-0.00576052
         217528500,0.0083986
         217528600,0.00427376
         217528700,0.00843347
         217528800,-0.00569084
         217528900,-0.0056728
         217529000,0.00848756
         217529100,0.00436381
         217529200,-0.00561767
         217529300,-0.00559906
         217529400,-0.00558039
         217529500,0.0117588
         217529600,-0.00554296
         217529700,-0.00552427
         217529800,-0.00550563
         217529900,0.0118334
         217530000,-0.00546864
         217530100,0.00454965
         217530200,0.00456777
         217530300,-0.00541432
         217530400,-0.00539665
         217530500,-0.00537925
         217530600,-0.00536214
         217530700,-0.00534536
         217530800,0.0088132
         217530900,-0.0053129
         217531000,-0.00529728
         217531100,-0.00528211
         217531200,0.00473258
         217531300,-0.00525324
         217531400,0.0047604
         217531500,0.00477347
         217531600,-0.00521406
         217531700,0.00893992
         217531800,0.0089511
         217531900,0.00481945
         217532000,-0.00517078
         217532100,-0.00516176
         217532200,-0.00515353
         217532300,0.0048539
         217532400,-0.00513952
         217532500,-0.00513381
         217532600,-0.00512901
         217532700,0.00487488
         217532800,-0.0051221
         217532900,-0.00511994
         217533000,0.00488141
         217533100,0.00488199
         217533200,-0.00511819
         217533300,0.00902306
         217533400,0.00487937
         217533500,-0.00512284
         217533600,0.00901648
         217533700,-0.00512904
         217533800,0.00486702
         217533900,-0.00513741
         217534000,-0.00514233
         217534100,0.00485232
         217534200,0.00484657
         217534300,0.00484044
         217534400,-0.00516602
         217534500,-0.00517279
         217534600,-0.00517983
         217534700,0.0048129
         217534800,-0.00519457
         217534900,-0.00520221
         217535000,-0.00520998
         217535100,0.00892428
         217535200,0.00891634
         217535300,0.00476624
         217535400,-0.00524172
         217535500,0.00889249
         217535600,-0.0052575
         217535700,0.00473474
         217535800,0.00886927
         217535900,0.00886183
         217536000,0.00471246
         217536100,0.00470547
         217536200,0.00469876
         217536300,0.00469235
         217536400,0.00468629
         217536500,-0.00531939
         217536600,0.00467533
         217536700,0.00467051
         217536800,-0.00533384
         217536900,0.00880446
         217537000,0.00465904
         217537100,0.00465633
         217537200,-0.00534576
         217537300,0.0046528
         217537400,-0.00534796
         217537500,0.00879414
         217537600,-0.00534729
         217537700,0.00465421
         217537800,0.00879866
         217537900,0.00465965
         217538000,0.00466354
         217538100,-0.00533185
         217538200,-0.00532656
         217538300,0.0088215
         217538400,0.00468588
         217538500,-0.00530706
         217538600,-0.0052995
         217538700,-0.00529148
         217538800,-0.00528304
         217538900,-0.00527424
         217539000,0.00473489
         217539100,-0.0052557
         217539200,-0.00524605
         217539300,-0.0052362
         217539400,0.0047738
         217539500,-0.0052161
         217539600,0.00479406
         217539700,0.00894638
         217539800,-0.0051856
         217539900,-0.00517551
         217540000,0.00483446
         217540100,0.00484428
         217540200,-0.00514611
         217540300,0.00486326
         217540400,0.00487234
         217540500,0.00488109
         217540600,0.00488946
         217540700,0.00903954
         217540800,0.00490489
         217540900,0.00905399
         217541000,-0.00508172
         217541100,0.0122446
         217541200,-0.00507072
         217541300,-0.00506622
         217541400,0.00907968
         217541500,0.00908267
         217541600,-0.00505729
         217541700,0.00494402
         217541800,0.00494443
         217541900,-0.00505611
         217542000,-0.00505764
         217542100,0.00493979
         217542200,-0.00506387
         217542300,0.00493136
         217542400,-0.00507459
         217542500,0.00491825
         217542600,-0.00509017
         217542700,-0.00509988
         217542800,0.00488905
         217542900,0.0048766
         217543000,0.00486273
         217543100,-0.00515255
         217543200,-0.00516917
         217543300,0.00481291
         217543400,0.00479373
         217543500,-0.00522665
         217543600,-0.00524818
         217543700,-0.00527082
         217543800,0.00470549
         217543900,0.00468078
         217544000,-0.00534488
         217544100,-0.00537145
         217544200,-0.00539888
         217544300,0.00457288
         217544400,0.00454388
         217544500,-0.00548584
         217544600,-0.00551622
         217544700,-0.00554722
         217544800,-0.00557879
         217544900,0.00438912
         217545000,0.00435657
         217545100,-0.00567641
         217545200,-0.00570976
         217545300,-0.00574343
         217545400,-0.00577737
         217545500,0.00833059
         217545600,0.00415412
         217545700,0.00826178
         217545800,0.00408509
         217545900,0.00405051
         217546000,0.00401595
         217546100,-0.00601854
         217546200,0.00808922
         217546300,0.00391288
         217546400,0.00387888
         217546500,-0.00615485
         217546600,0.00381174
         217546700,0.00377868
         217546800,-0.00625396
         217546900,-0.00628615
         217547000,0.00782431
         217547100,-0.00634894
         217547200,0.00362054
         217547300,-0.00640932
         217547400,0.00770367
         217547500,0.00353313
         217547600,0.00350553
         217547700,0.00762092
         217547800,0.00345293
         217547900,-0.00657197
         217548000,-0.00659587
         217548100,-0.00661872
         217548200,-0.0066405
         217548300,0.00333878
         217548400,0.00331911
         217548500,0.00330046
         217548600,0.00742494
         217548700,0.00326613
         217548800,0.00325041
         217548900,-0.00676438
         217549000,0.00322174
         217549100,-0.00679125
         217549200,0.00319663
         217549300,-0.00681465
         217549400,0.0031749
         217549500,0.00316525
         217549600,-0.00684363
         217549700,0.00314826
         217549800,-0.00685913
         217549900,-0.00686579
         217550000,0.00727037
         217550100,0.00726506
         217550200,0.0072604
         217550300,-0.00688577
         217550400,0.00311081
         217550500,-0.00689204
         217550600,0.00310567
         217550700,0.00724606
         217550800,-0.00689731
         217550900,-0.00689804
         217551000,0.00310169
         217551100,0.00724401
         217551200,0.00310249
         217551300,0.00310352
         217551400,-0.00689508
         217551500,0.00310669
         217551600,0.0031088
         217551700,-0.00688877
         217551800,0.0104345
         217551900,-0.00688304
         217552000,0.00312021
         217552100,0.0031237
         217552200,-0.0068726
         217552300,0.00727342
         217552400,0.00727747
         217552500,0.00313953
         217552600,-0.00685616
         217552700,0.00729039
         217552800,-0.00684725
         217552900,-0.0068427
         217553000,-0.00683812
         217553100,-0.00683352
         217553200,-0.00682893
         217553300,0.00317562
         217553400,-0.00681986
         217553500,-0.00681537
         217553600,0.00318911
         217553700,0.00733572
         217553800,-0.00680192
         217553900,-0.0067974
         217554000,0.00320715
         217554100,0.0105323
         217554200,-0.00678357
         217554300,0.00322117
         217554400,-0.00677399
         217554500,0.00737309
         217554600,0.00323601
         217554700,-0.00675881
         217554800,0.00324652
         217554900,-0.006748
         217555000,0.00325765
         217555100,0.00740561
         217555200,-0.0067305
         217555300,-0.00672428
         217555400,0.00328217
         217555500,0.00328885
         217555600,-0.00670423
         217555700,0.00330295
         217555800,-0.0066896
         217555900,0.00331814
         217556000,-0.00667383
         217556100,0.00747664
         217556200,0.00334317
         217556300,0.00335217
         217556400,-0.00663849
         217556500,0.0106917
         217556600,0.0033813
         217556700,0.0075339
         217556800,-0.00659737
         217556900,0.00341391
         217557000,-0.00657439
         217557100,0.00757988
         217557200,-0.00654966
         217557300,-0.0065366
         217557400,-0.00652307
         217557500,-0.00650904
         217557600,-0.00649452
         217557700,0.00352052
         217557800,0.00353609
         217557900,0.00769434
         217558000,-0.00643113
         217558100,-0.0064139
         217558200,-0.00639608
         217558300,-0.00637768
         217558400,-0.00635867
         217558500,-0.00633904
         217558600,0.00368119
         217558700,0.00370198
         217558800,-0.00627669
         217558900,0.00374513
         217559000,0.0110879
         217559100,-0.00620986
         217559200,0.0079554
         217559300,-0.00616325
         217559400,0.00386057
         217559500,0.00388469
         217559600,-0.00609092
         217559700,0.0039337
         217559800,0.00810065
         217559900,0.00398349
         217560000,0.00400861
         217560100,0.00403382
         217560200,-0.0059409
         217560300,0.00408441
         217560400,0.00410972
         217560500,-0.00586501
         217560600,0.0041602
         217560700,0.0041853
         217560800,0.00835241
         217560900,0.00423508
         217561000,0.00840181
         217561100,0.00428404
         217561200,0.00430814
         217561300,0.00433194
         217561400,-0.0056446
         217561500,-0.00562151
         217561600,0.00440118
         217561700,-0.00557656
         217561800,-0.00555477
         217561900,-0.00553349
         217562000,-0.00551273
         217562100,0.00450745
         217562200,-0.00547297
         217562300,0.00454597
         217562400,-0.00543575
         217562500,0.0119023
         217562600,0.0087408
         217562700,-0.00538526
         217562800,0.00463
         217562900,0.00464444
         217563000,-0.005342
         217563100,0.00467066
         217563200,0.00468239
         217563300,-0.00530685
